State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.14091	2.17102	2.20661	2.27780	2.35445	2.37635	2.40921	2.47491	2.61180	2.63918	2.68024	2.83082	2.83903	2.84177	2.80618	2.82260	2.78428	2.69393	2.67750	2.62001	2.55704
2	1.30549	1.29313	1.33710	1.32336	1.32061	1.36871	1.30824	1.28626	1.26015	1.32061	1.32336	1.29588	1.22991	1.20243	1.17632	1.15433	1.14609	1.15708	1.21067	1.20793	1.16670
3	2.00972	1.98355	1.94788	1.89318	1.90031	1.92885	1.98831	2.08344	2.13339	1.97404	1.84323	1.82182	1.82182	1.77426	1.74810	1.68150	1.67437	1.69815	1.72669	1.75761	1.79804
4	4.46974	4.26067	4.10928	3.84974	3.65509	3.43161	3.15044	2.81161	2.50161	2.28533	2.21324	2.24208	2.42231	2.57370	2.71789	2.89812	2.94859	3.05672	2.91254	2.89812	3.00626
5	3.01853	3.01360	2.96921	2.92482	2.97907	2.99880	3.11224	3.06785	2.88043	2.78671	2.57463	2.53024	2.32802	2.23430	2.11593	2.12086	2.13566	2.07154	2.12086	2.18991	2.13566
6	1.25009	1.22486	1.21224	1.18357	1.14228	1.13196	1.10329	1.09297	1.07003	1.03218	0.99434	0.98631	0.97369	0.95534	0.95076	0.91291	0.88997	0.89112	0.89685	0.87047	0.90488
7	1.96505	1.95719	1.96583	1.97526	1.97997	1.96466	1.96348	1.97094	1.98154	2.02238	2.08757	2.08953	2.15354	2.20891	2.26075	2.30316	2.33300	2.35657	2.37581	2.38091	2.38720
8	4.40302	4.45561	4.48732	4.50433	4.50820	4.55228	4.55770	4.54455	4.51671	4.44633	4.30943	4.20657	4.04802	3.86859	3.68993	3.53216	3.38598	3.24058	3.09054	2.98226	2.86316
9	0.58484	0.58598	0.58325	0.58425	0.58566	0.58407	0.58439	0.58434	0.58693	0.59102	0.59706	0.60087	0.60614	0.61218	0.61917	0.62635	0.63316	0.63870	0.64374	0.65000	0.65849
10	1.65588	1.58641	1.63272	1.68483	1.54009	1.52851	1.74273	1.83537	1.84116	1.79484	1.80642	1.98011	1.96853	2.03222	2.00906	1.91064	1.88748	1.99169	1.95695	2.01485	1.74273
