State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.89692	1.97666	2.16273	2.31497	2.47929	2.47204	2.30772	1.97183	1.74227	1.53445	1.38463	1.31214	1.36047	1.60936	2.01291	2.54211	2.71368	2.63877	2.52762	2.43096	2.23039
2	2.55688	2.81281	3.24704	3.83411	4.58128	5.30540	5.80513	5.51403	4.35688	4.13249	4.12764	3.16820	3.30041	3.37076	3.39866	3.31618	3.12090	2.70486	2.38464	2.12022	1.92372
3	2.72904	3.20347	3.71988	4.66665	6.14453	8.64264	12.34574	17.16773	21.35995	22.03171	20.20536	18.18797	14.86904	11.96367	9.30811	6.82469	4.92276	3.80386	2.93896	2.36796	1.97120
4	5.72055	7.05684	8.76855	11.39020	14.83272	19.08336	22.97130	25.93021	29.30273	32.85342	40.78838	52.33766	58.70091	61.00440	58.12185	49.90054	38.46580	28.02372	20.22238	14.81999	10.96387
5	5.49403	5.75089	6.02515	6.11658	5.52451	4.39697	3.16059	2.52935	2.13754	2.04176	2.17672	2.35521	2.79055	3.81361	6.72606	11.61061	16.51258	18.92003	19.03757	18.08852	16.53435
6	1.64496	1.48705	1.25827	0.99305	0.78756	0.63065	0.56890	0.54360	0.52538	0.51829	0.54461	0.58712	0.60433	0.60636	0.63976	0.75415	1.10845	1.76644	2.60562	3.37091	4.06736
7	1.19200	1.16150	1.11401	1.04989	0.95076	0.84608	0.74487	0.63569	0.53656	0.49427	0.46897	0.44921	0.46515	0.50779	0.57191	0.69045	0.89738	1.09945	1.26756	1.37154	1.46790
8	0.65056	0.58776	0.53998	0.49014	0.46625	0.42939	0.39798	0.37682	0.36726	0.37204	0.38501	0.40345	0.42324	0.43826	0.45123	0.47171	0.50106	0.55499	0.61370	0.70995	0.79460
9	0.79600	0.77973	0.75612	0.71977	0.67087	0.60370	0.52170	0.44816	0.40379	0.37650	0.36620	0.37169	0.38427	0.40363	0.42844	0.45682	0.48371	0.50936	0.52984	0.54643	0.55934
10	1.80907	1.82440	1.87039	1.84995	1.59954	1.56888	1.61999	1.45645	1.64554	2.75960	2.46831	1.32869	1.05274	1.03229	1.04762	1.09362	1.12428	1.34403	1.39513	1.32358	1.24693
