State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.26996	0.66160	2.22210	1.71044	2.68052	1.38467	2.05957	0.22417
2	2.53005	5.67965	1.30878	0.89765	1.32350	4.12776	3.63522	0.58316
3	1.46185	22.22260	3.45823	1.05719	1.84342	20.20598	9.11019	0.45254
4	0.48227	47.31191	7.76229	2.07226	2.21347	40.78327	24.81664	0.15226
5	0.70492	1.42224	2.48653	2.27064	2.57490	2.17678	6.54210	0.05459
6	3.03156	0.74936	1.37420	2.29288	0.99444	0.54463	1.13642	0.10167
7	8.85371	0.64393	1.92694	2.04176	2.08739	0.46898	0.85319	0.34962
8	4.49544	0.17791	5.22783	2.21555	4.30834	0.38503	0.52597	0.25066
9	76.56974	0.23781	0.49131	0.72897	0.59712	0.36621	0.57399	1.20704
10	0.60051	2.50255	1.61170	1.00995	1.80661	2.46838	1.62460	0.85498
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
