State (Emission order)	Ctcf	Ezh239875	H2az	H3k4me2	H3k4me1	H4k20me1	CH3k79me2	H3k36me3	H3k27me3	H3k9ac
1	0.04438321008289933	0.018184870813243294	0.10066972664711839	0.4090607809209063	0.7294054960308255	0.02596425710511273	0.04249978410026287	0.07893123027009089	0.0	0.0
2	0.0018157806083625382	0.07397009019268434	0.1531923588814073	0.04624789355745981	0.17048784907963432	0.006383776958568466	0.0010399845298133998	7.644219094815035E-4	0.0	0.0
3	0.1310669517410098	0.0463406051141335	0.8318580798383131	0.8119852510105915	0.5055147022964431	0.004690155643243678	0.005097283322969708	4.962504673371024E-4	0.0	0.0
4	0.09550050963495725	0.01053376578537522	0.6278177784415061	0.8721344312466353	0.11655912833804159	0.005354026878045989	0.7585022850673563	0.00338097711991737	0.0	0.0
5	0.04046580542792878	0.021359790897744802	0.023218010847876988	0.5577872976971412	0.6304379032178202	0.1751887672530242	0.9068193925308893	0.30561700003046516	0.0	0.0
6	0.008709522411347937	0.0122037763638523	8.557629712039851E-4	0.002195902793639984	0.025266039594737992	0.07234179878935695	0.7061358637555415	0.23197369751260563	0.0	0.0
7	0.0020547275309540816	0.008335464994167053	0.0010172214837124243	5.538869617374545E-4	0.00525777597731104	0.004401645025347598	0.02568795635756077	0.060928717223254485	0.0	0.0
8	0.009482387606262417	0.013283946445374147	7.481968600868296E-4	6.288076852775873E-4	0.00949519516482982	0.00954217641971189	0.043256005393700746	0.579613792070751	0.0	0.0
9	5.263492880532586E-4	0.008247359624489714	8.411755564905028E-4	2.3554210746387923E-5	1.0701095521449841E-6	0.0014902552445884031	1.2328467737188244E-4	2.666314752043059E-4	0.0	0.0
10	0.9066165427992471	0.039381806010689	0.11262708644509563	0.020757359444913505	0.03605066238025654	0.016073270274544086	0.004587808445367097	0.012930537985289333	0.0	0.0
